woorden,lettergrepen,aantal lettergrepen
zilverui,"['zil', 'ver', 'ui']",3
Aalst,['Aalst'],1
Servisch,"['Ser', 'visch']",2
python,"['py', 'thon']",2
gelaatsuitdrukking,"['ge', 'laats', 'uit', 'druk', 'king']",5
bingode,"['bin', 'go', 'de']",3
uitblinkend,"['uit', 'blin', 'kend']",3
halfverborgene,"['half', 'ver', 'bor', 'ge', 'ne']",5
distilleerketel,"['dis', 'til', 'leer', 'ke', 'tel']",5
lavas,"['la', 'vas']",2
xenofiel,"['xe', 'no', 'fiel']",3
hoogtevrees,"['hoog', 'te', 'vrees']",3
radijs,"['ra', 'dijs']",2
blauw,['blauw'],1
november,"['no', 'vem', 'ber']",3
pezerik,"['pe', 'ze', 'rik']",3
Tataars,"['Ta', 'taars']",2
cabaretjes,"['ca', 'ba', 'ret', 'jes']",4
cisisjes,"['cisis', 'jes']",2
omber,"['om', 'ber']",2
c-klein,['c-klein'],1
torenvalk,"['to', 'ren', 'valk']",3
myriade,"['my', 'ri', 'a', 'de']",4
coronarisicogebied,"['co', 'ro', 'na', 'ri', 'si', 'co', 'ge', 'bied']",8
empirie,"['em', 'pi', 'rie']",3
oprichten,"['op', 'rich', 'ten']",3
tegenpartij,"['te', 'gen', 'par', 'tij']",4
meerling,"['meer', 'ling']",2
ontbladeringsmiddel,"['ont', 'bla', 'de', 'rings', 'mid', 'del']",6
rijpen,"['rij', 'pen']",2
Creools,"['Cre', 'ools']",2
honderdvijfenzeventigjarige,"['hon', 'derd', 'vijf', 'en', 'ze', 'ven', 'tig', 'ja', 'ri', 'ge']",10
aanmaakhout,"['aan', 'maak', 'hout']",3
Mantsjoe,"['Man', 'tsjoe']",2
drijfwieltje,"['drijf', 'wiel', 'tje']",3
descendent,"['des', 'cen', 'dent']",3
carga,"['car', 'ga']",2
sneeuwruimend,"['sneeuw', 'rui', 'mend']",3
generfd,"['ge', 'nerfd']",2
tijdvak,"['tijd', 'vak']",2
erfstuk,"['erf', 'stuk']",2
denkstijltje,"['denk', 'stijl', 'tje']",3
fluwelige,"['flu', 'we', 'li', 'ge']",4
abraham,"['abra', 'ham']",2
tandspiegel,"['tand', 'spie', 'gel']",3
streberig,"['stre', 'be', 'rig']",3
elektriekste,"['elek', 'triek', 'ste']",3
petrificatie,"['pe', 'tri', 'fi', 'ca', 'tie']",5
melaatsheid,"['me', 'laats', 'heid']",3
heggenmussen,"['heg', 'gen', 'mus', 'sen']",4
sekse,"['sek', 'se']",2
arrondissementele,"['ar', 'ron', 'dis', 'se', 'men', 'te', 'le']",7
rijdt vooruit,"['rijdt', 'voor', 'uit']",3
Trojaans paard,"['Tro', 'jaans', 'paard']",3
vruchtensausjes,"['vruch', 'ten', 'saus', 'jes']",4
anarchisme,"['an', 'ar', 'chis', 'me']",4
meedrinken,"['mee', 'drin', 'ken']",3
zaponlak,"['za', 'pon', 'lak']",3
preconiserend,"['pre', 'co', 'ni', 'se', 'rend']",5
toenmalige,"['toen', 'ma', 'li', 'ge']",4
drugstoerist,"['drugs', 'toe', 'rist']",3
impulsmoment,"['im', 'puls', 'mo', 'ment']",4
leerlijn,"['leer', 'lijn']",2
international,"['in', 'ter', 'na', 'ti', 'o', 'nal']",6
prik,['prik'],1
donut,"['do', 'nut']",2
Tripolitaans,"['Tri', 'po', 'li', 'taans']",4
Brandenburg,"['Bran', 'den', 'burg']",3
Zuid-Korea,"['Zuid-Ko', 'rea']",2
Eïs-grootakkoordjes,"['Eïs-groot', 'ak', 'koord', 'jes']",4
regularisatiecampagne,"['re', 'gu', 'la', 'ri', 'sa', 'tie', 'cam', 'pag', 'ne']",9
hersenpan,"['her', 'sen', 'pan']",3
over,['over'],1
wenkte,"['wenk', 'te']",2
kanton,"['kan', 'ton']",2
visaasjes,"['vis', 'aas', 'jes']",3
welgat,"['wel', 'gat']",2
bestrating,"['be', 'stra', 'ting']",3
vreten,"['vre', 'ten']",2
sleutelgaten,"['sleu', 'tel', 'ga', 'ten']",4
rijdbaarder,"['rijd', 'baar', 'der']",3
palmprocessie,"['palm', 'pro', 'ces', 'sie']",4
neersabelend,"['neer', 'sa', 'be', 'lend']",4
gehergroepeerd,"['ge', 'her', 'groe', 'peerd']",4
trouwjas,"['trouw', 'jas']",2
Tibet,"['Ti', 'bet']",2
agioterend,"['agio', 'te', 'rend']",3
gekluund,"['ge', 'kluund']",2
confetti,"['con', 'fet', 'ti']",3
jojobeleid,"['jo', 'jo', 'be', 'leid']",4
garagestudio,"['ga', 'ra', 'ge', 'stu', 'dio']",5
Bossche bol,"['Bos', 'sche', 'bol']",3
beproevinkjes,"['be', 'proe', 'vin', 'kjes']",4
kroning,"['kro', 'ning']",2
kamenieren,"['ka', 'me', 'nie', 'ren']",4
herfstnachtevening,"['herfst', 'nacht', 'eve', 'ning']",4
ombrachten,"['om', 'brach', 'ten']",3
gezinnen,"['ge', 'zin', 'nen']",3
mangrove,"['man', 'gro', 've']",3
huizes,"['hui', 'zes']",2
autarkie,"['au', 'tar', 'kie']",3
uitgelatenheid,"['uit', 'ge', 'la', 'ten', 'heid']",5
Liechtensteins,"['Liech', 'ten', 'steins']",3
gedreuteld,"['ge', 'dreu', 'teld']",3
Arctica,"['Arc', 'ti', 'ca']",3
giardiaparasiet,"['gi', 'ar', 'dia', 'pa', 'ra', 'siet']",6
ossi's,"['os', ""si's""]",2
hardwerkends,"['hard', 'wer', 'kends']",3
bajesklantjes,"['ba', 'jes', 'klant', 'jes']",4
doordenken,"['door', 'den', 'ken']",3
keukenla's,"['keu', 'ken', ""la's""]",3
samenspannen,"['sa', 'men', 'span', 'nen']",4
heidepaars,"['hei', 'de', 'paars']",3
microscoop,"['mi', 'cro', 'scoop']",3
drilpudding,"['dril', 'pud', 'ding']",3
landoriumpje,"['lan', 'do', 'ri', 'um', 'pje']",5
tabaksverslavingen,"['ta', 'baks', 'ver', 'sla', 'vin', 'gen']",6
antennewinst,"['an', 'ten', 'ne', 'winst']",4
noviteit,"['no', 'vi', 'teit']",3
verzaakt,"['ver', 'zaakt']",2
vriesweertje,"['vries', 'weer', 'tje']",3
mathemaat,"['ma', 'the', 'maat']",3
netelcel,"['ne', 'tel', 'cel']",3
Tboli,"['Tbo', 'li']",2
natuurkundige,"['na', 'tuur', 'kun', 'di', 'ge']",5
geheugenverlies,"['ge', 'heu', 'gen', 'ver', 'lies']",5
tandwortels,"['tand', 'wor', 'tels']",3
geschaamd,"['ge', 'schaamd']",2
laboratoriumdier,"['la', 'bo', 'ra', 'to', 'ri', 'um', 'dier']",7
desillusioneerde,"['des', 'il', 'lu', 'si', 'o', 'neer', 'de']",7
handeling,"['han', 'de', 'ling']",3
voorganger,"['voor', 'gan', 'ger']",3
kasteel,"['kas', 'teel']",2
psychiater,"['psy', 'chi', 'a', 'ter']",4
tanker,"['tan', 'ker']",2
rooiingen,"['rooi', 'in', 'gen']",3
roofblei,"['roof', 'blei']",2
Mussau-Emira,"['Mus', 'sau-Emi', 'ra']",3
scheldwoord,"['scheld', 'woord']",2
evocatie,"['evo', 'ca', 'tie']",3
noen,['noen'],1
thee,['thee'],1
sperzieboon,"['sper', 'zie', 'boon']",3
slijm,['slijm'],1
zeemzoet,"['zeem', 'zoet']",2
energiebelasting,"['ener', 'gie', 'be', 'las', 'ting']",5
integreer,"['in', 'te', 'greer']",3
malus,"['ma', 'lus']",2
captaintje,"['cap', 'tain', 'tje']",3
onbarmhartige,"['on', 'barm', 'har', 'ti', 'ge']",5
amusementjes,"['amu', 'se', 'ment', 'jes']",4
doortrillen,"['door', 'tril', 'len']",3
sportpark,"['sport', 'park']",2
wegveeg,"['weg', 'veeg']",2
herontdek,"['her', 'ont', 'dek']",3
Klallam,"['Klal', 'lam']",2
groentekraam,"['groen', 'te', 'kraam']",3
casinokapitalisme,"['ca', 'si', 'no', 'ka', 'pi', 'ta', 'lis', 'me']",8
stuntertje,"['stun', 'ter', 'tje']",3
cholerisch,"['cho', 'le', 'risch']",3
meerschuimen,"['meer', 'schui', 'men']",3
tafelzout,"['ta', 'fel', 'zout']",3
ecopartij,"['eco', 'par', 'tij']",3
jeukeriger,"['jeu', 'ke', 'ri', 'ger']",4
rivierbeddinkjes,"['ri', 'vier', 'bed', 'din', 'kjes']",5
stempel,"['stem', 'pel']",2
potvis,"['pot', 'vis']",2
delirantst,"['de', 'li', 'rantst']",3
bloemisterij,"['bloe', 'mis', 'te', 'rij']",4
robotsysteempje,"['ro', 'bot', 'sys', 'teem', 'pje']",5
petawattuur,"['pe', 'ta', 'watt', 'uur']",4
mineurtoonaard,"['mi', 'neur', 'toon', 'aard']",4
buigen,"['bui', 'gen']",2
Vlax Romani,"['Vlax', 'Ro', 'ma', 'ni']",4
idyllisch,"['idyl', 'lisch']",2
abtjes,"['abt', 'jes']",2
bed,['bed'],1
zodensnijder,"['zo', 'den', 'snij', 'der']",4
spotdicht,"['spot', 'dicht']",2
uitspreken,"['uit', 'spre', 'ken']",3
pareren,"['pa', 're', 'ren']",3
domestiekere,"['do', 'mes', 'tie', 'ke', 're']",5
wax,['wax'],1
kompels,"['kom', 'pels']",2
boorzuur,"['boor', 'zuur']",2
aaneengegroeid,"['aan', 'een', 'ge', 'groeid']",4
schemering,"['sche', 'me', 'ring']",3
zeebonk,"['zee', 'bonk']",2
pelagischere,"['pe', 'la', 'gi', 'sche', 're']",5
krulde op,"['krul', 'de', 'op']",3
diatomen,"['di', 'a', 'to', 'men']",4
malkaar,"['mal', 'kaar']",2
afleverinkje,"['af', 'le', 've', 'rin', 'kje']",5
cellofaantjes,"['cel', 'lo', 'faan', 'tjes']",4
beneveling,"['be', 'ne', 've', 'ling']",4
zoekterrein,"['zoek', 'ter', 'rein']",3
zalm,['zalm'],1
zeekomkommer,"['zee', 'kom', 'kom', 'mer']",4
thuisland,"['thuis', 'land']",2
allo's,"['al', ""lo's""]",2
soepkop,"['soep', 'kop']",2
populairder,"['po', 'pu', 'lair', 'der']",4
neemt uiteen,"['neemt', 'uit', 'een']",3
berapen,"['be', 'ra', 'pen']",3
qualitate qua,"['qua', 'li', 'ta', 'te', 'qua']",5
raisonnabeler,"['rai', 'son', 'na', 'be', 'ler']",5
geblaf,"['ge', 'blaf']",2
zuil,['zuil'],1
geldontwaarding,"['geld', 'ont', 'waar', 'ding']",4
nawegend,"['na', 'we', 'gend']",3
voettrede,"['voet', 'tre', 'de']",3
mediawijsheid,"['me', 'dia', 'wijs', 'heid']",4
Cochabamba,"['Co', 'cha', 'bam', 'ba']",4
ouden,"['ou', 'den']",2
eïs-klein,['eïs-klein'],1
accelerators,"['ac', 'ce', 'le', 'ra', 'tors']",5
Verenigde Staten van Amerika,"['Ver', 'enig', 'de', 'Sta', 'ten', 'van', 'Am', 'eri', 'ka']",9
persuasies,"['per', 'su', 'a', 'sies']",4
nagelaten,"['na', 'ge', 'la', 'ten']",4
iezegrimmigers,"['ieze', 'grim', 'mi', 'gers']",4
koffiezetter,"['kof', 'fie', 'zet', 'ter']",4
olijfneuker,"['olijf', 'neu', 'ker']",3
hoogvlakte,"['hoog', 'vlak', 'te']",3
Alpen,"['Al', 'pen']",2
braam,['braam'],1
zweepstaarten,"['zweep', 'staar', 'ten']",3
overmand,"['over', 'mand']",2
eerzaam,"['eer', 'zaam']",2
wanboffen,"['wan', 'bof', 'fen']",3
pietluttig,"['piet', 'lut', 'tig']",3
kinkyst,"['kin', 'kyst']",2
verfspuit,"['verf', 'spuit']",2
moedertaal,"['moe', 'der', 'taal']",3
crash,['crash'],1
verkleinwoord,"['ver', 'klein', 'woord']",3
bedgordijnen,"['bed', 'gor', 'dij', 'nen']",4
Griekjes,"['Griek', 'jes']",2
plaat,['plaat'],1
aidstests,"['aids', 'tests']",2
omtogen,"['om', 'to', 'gen']",3
aversie,"['aver', 'sie']",2
improvisatietje,"['im', 'pro', 'vi', 'sa', 'tie', 'tje']",6
bottenkraker,"['bot', 'ten', 'kra', 'ker']",4
rondreizend,"['rond', 'rei', 'zend']",3
wielrende,"['wiel', 'ren', 'de']",3
knuist,['knuist'],1
der,['der'],1
ABC-wapens,"['ABC-wa', 'pens']",2
Darginisch,"['Dar', 'gi', 'nisch']",3
kamervoorzitter,"['ka', 'mer', 'voor', 'zit', 'ter']",5
kruismast,"['kruis', 'mast']",2
escortdame,"['es', 'cort', 'da', 'me']",4
Germaans,"['Ger', 'maans']",2
leeskaartje,"['lees', 'kaart', 'je']",3
makron,"['ma', 'kron']",2
bezettingsmachtje,"['be', 'zet', 'tings', 'macht', 'je']",5
Umbrisch,"['Um', 'brisch']",2
areografie,"['areo', 'gra', 'fie']",3
ober,['ober'],1
zwartepiet,"['zwar', 'te', 'piet']",3
onbeleefdst,"['on', 'be', 'leefdst']",3
kubistisch,"['ku', 'bis', 'tisch']",3
aantasting,"['aan', 'tas', 'ting']",3
bleekrood,"['bleek', 'rood']",2
boog,['boog'],1
salie,"['sa', 'lie']",2
nanowatt,"['na', 'no', 'watt']",3
Almeers,"['Al', 'meers']",2
rijven,"['rij', 'ven']",2
conclusie,"['con', 'clu', 'sie']",3
schorsing,"['schor', 'sing']",2
zetelroof,"['ze', 'tel', 'roof']",3
architraven,"['ar', 'chi', 'tra', 'ven']",4
gehakt,"['ge', 'hakt']",2
hoofddekseltje,"['hoofd', 'dek', 'sel', 'tje']",4
afhangen,"['af', 'han', 'gen']",3
Sirius,"['Si', 'ri', 'us']",3
evenaar,"['eve', 'naar']",2
smaakstof,"['smaak', 'stof']",2
dubbelspecialistes,"['dub', 'bel', 'spe', 'ci', 'a', 'lis', 'tes']",7
kalisse,"['ka', 'lis', 'se']",3
dienstwoning,"['dienst', 'wo', 'ning']",3
gelijkaardig,"['ge', 'lijk', 'aar', 'dig']",4
benzinevergassertje,"['ben', 'zi', 'ne', 'ver', 'gas', 'ser', 'tje']",7
ronkt,['ronkt'],1
chanoekafeesten,"['cha', 'noe', 'ka', 'fees', 'ten']",5
Kenia,"['Ke', 'nia']",2
lamoen,"['la', 'moen']",2
vliegbasis,"['vlieg', 'ba', 'sis']",3
treed in,"['treed', 'in']",2
lange termijn,"['lan', 'ge', 'ter', 'mijn']",4
vastleggen,"['vast', 'leg', 'gen']",3
kaasde,"['kaas', 'de']",2
fort,['fort'],1
vuurbestendige,"['vuur', 'be', 'sten', 'di', 'ge']",5
smeken,"['sme', 'ken']",2
boommeters,"['boom', 'me', 'ters']",3
gijzelaar,"['gij', 'ze', 'laar']",3
clanlidjes,"['clan', 'lid', 'jes']",3
dysfasie,"['dys', 'fa', 'sie']",3
sisser,"['sis', 'ser']",2
bungalows,"['bun', 'ga', 'lows']",3
hoerenkast,"['hoe', 'ren', 'kast']",3
abstinentjes,"['ab', 'sti', 'nent', 'jes']",4
onbruik,"['on', 'bruik']",2
borst open,"['borst', 'open']",2
langs,['langs'],1
bissectrice,"['bis', 'sec', 'tri', 'ce']",4
deurknop,"['deur', 'knop']",2
achteruitlopen,"['ach', 'ter', 'uit', 'lo', 'pen']",5
ellips,"['el', 'lips']",2
spijkerstof,"['spij', 'ker', 'stof']",3
wijnkelders,"['wijn', 'kel', 'ders']",3
framboos,"['fram', 'boos']",2
eerstkomende,"['eerst', 'ko', 'men', 'de']",4
Faeröers,"['Fae', 'röers']",2
rhodium,"['rho', 'di', 'um']",3
beigebruin,"['bei', 'ge', 'bruin']",3
zwemoefening,"['zwem', 'oe', 'fe', 'ning']",4
gong,['gong'],1
wied,['wied'],1
bakkerinnen,"['bak', 'ke', 'rin', 'nen']",4
aalbessen,"['aal', 'bes', 'sen']",3
touwen,"['tou', 'wen']",2
slokkerd,"['slok', 'kerd']",2
uitgang,"['uit', 'gang']",2
fratricides,"['fra', 'tri', 'ci', 'des']",4
tussenpersoon,"['tus', 'sen', 'per', 'soon']",4
aanpassingsproces,"['aan', 'pas', 'sings', 'pro', 'ces']",5
tijdslogica,"['tijds', 'lo', 'gi', 'ca']",4
slaapboek,"['slaap', 'boek']",2
elektriseer,"['elek', 'tri', 'seer']",3
geglunderd,"['ge', 'glun', 'derd']",3
cornflakes,"['corn', 'flakes']",2
verrottere,"['ver', 'rot', 'te', 're']",4
allochtoontjes,"['al', 'loch', 'toon', 'tjes']",4
indrift,"['in', 'drift']",2
luxeverzuim,"['luxe', 'ver', 'zuim']",3
bedankt,"['be', 'dankt']",2
spotlight,"['spot', 'light']",2
grootschalige,"['groot', 'scha', 'li', 'ge']",4
geschubd,"['ge', 'schubd']",2
glorieus,"['glo', 'ri', 'eus']",3
trawanten,"['tra', 'wan', 'ten']",3
bekakken,"['be', 'kak', 'ken']",3
hekeliger,"['he', 'ke', 'li', 'ger']",4
internetradio,"['in', 'ter', 'net', 'ra', 'dio']",5
biebjuffen,"['bieb', 'juf', 'fen']",3
handvaardig,"['hand', 'vaar', 'dig']",3
nietes,"['nie', 'tes']",2
maanden,"['maan', 'den']",2
Bezjta,"['Bezj', 'ta']",2
naadlozer,"['naad', 'lo', 'zer']",3
ravangers,"['ra', 'van', 'gers']",3
informeel,"['in', 'for', 'meel']",3
corbillard,"['cor', 'bil', 'lard']",3
B,['B'],1
berde,"['ber', 'de']",2
afoon,['afoon'],1
schijf,['schijf'],1
stalkaars,"['stal', 'kaars']",2
haarnetje,"['haar', 'net', 'je']",3
woonbuurt,"['woon', 'buurt']",2
mompelen,"['mom', 'pe', 'len']",3
bapao's,"['ba', 'pa', ""o's""]",3
huizen,"['hui', 'zen']",2
allesomvattende,"['al', 'les', 'om', 'vat', 'ten', 'de']",6
steiltes,"['steil', 'tes']",2
genest,"['ge', 'nest']",2
plafon,"['pla', 'fon']",2
nihoniumatomen,"['ni', 'ho', 'ni', 'um', 'ato', 'men']",6
vage,"['va', 'ge']",2
slimmerds,"['slim', 'merds']",2
verdrietig,"['ver', 'drie', 'tig']",3
chefsache,"['chef', 'sa', 'che']",3
kende,"['ken', 'de']",2
godsgruwelijkst,"['gods', 'gru', 'we', 'lijkst']",4
lichtbreking,"['licht', 'bre', 'king']",3
onkruidverdelgingsmiddel,"['on', 'kruid', 'ver', 'del', 'gings', 'mid', 'del']",7
wiki's,"['wi', ""ki's""]",2
nagehikt,"['na', 'ge', 'hikt']",3
visgidsjes,"['vis', 'gids', 'jes']",3
zwingelspaan,"['zwin', 'gel', 'spaan']",3
Indiana,"['In', 'di', 'a', 'na']",4
studentenblaadje,"['stu', 'den', 'ten', 'blaad', 'je']",5
houtsnijder,"['hout', 'snij', 'der']",3
johannesbrood,"['jo', 'han', 'nes', 'brood']",4
steenkoolmijntjes,"['steen', 'kool', 'mijn', 'tjes']",4
aangestort,"['aan', 'ge', 'stort']",3
koppensnellen,"['kop', 'pen', 'snel', 'len']",4
kipfilet,"['kip', 'fi', 'let']",3
Daman en Diu,"['Da', 'man', 'en', 'Diu']",4
graspieper,"['gras', 'pie', 'per']",3
meteoor,"['me', 'te', 'oor']",3
gehobbyd,"['ge', 'hob', 'byd']",3
testeren,"['tes', 'te', 'ren']",3
politoeren,"['po', 'li', 'toe', 'ren']",4
degelijk,"['de', 'ge', 'lijk']",3
intrigantes,"['in', 'tri', 'gan', 'tes']",4
gemeen,"['ge', 'meen']",2
uitgroeien,"['uit', 'groei', 'en']",3
sleepwagentje,"['sleep', 'wa', 'gen', 'tje']",4
kruiser,"['krui', 'ser']",2
jojo-effect,"['jo', 'jo-ef', 'fect']",3
kromzaag,"['krom', 'zaag']",2
schetsmatig,"['schets', 'ma', 'tig']",3
onderonsje,"['on', 'der', 'ons', 'je']",4
dichttimmerend,"['dicht', 'tim', 'me', 'rend']",4
huiselijkst,"['hui', 'se', 'lijkst']",3
kelderde,"['kel', 'der', 'de']",3
beschrijvinkjes,"['be', 'schrij', 'vin', 'kjes']",4
Corina,"['Co', 'ri', 'na']",3
uitvoerbaarheid,"['uit', 'voer', 'baar', 'heid']",4
inscannend,"['in', 'scan', 'nend']",3
objecten,"['ob', 'jec', 'ten']",3
boeddhisme,"['boed', 'dhis', 'me']",3
lichaamsoppervlak,"['li', 'chaams', 'op', 'per', 'vlak']",5
vrijhaven,"['vrij', 'ha', 'ven']",3
dumpen,"['dum', 'pen']",2
holocaust,"['ho', 'lo', 'caust']",3
trachten,"['trach', 'ten']",2
broertje,"['broer', 'tje']",2
begrijpen,"['be', 'grij', 'pen']",3
hectopascal,"['hec', 'to', 'pas', 'cal']",4
Wikimediaprojecten,"['Wi', 'ki', 'me', 'dia', 'pro', 'jec', 'ten']",7
dijkweggetjes,"['dijk', 'weg', 'ge', 'tjes']",4
verbloedde,"['ver', 'bloed', 'de']",3
prosectors,"['pro', 'sec', 'tors']",3
gejaagds,"['ge', 'jaagds']",2
stemknopjes,"['stem', 'knop', 'jes']",3
afweking,"['af', 'we', 'king']",3
stekelig,"['ste', 'ke', 'lig']",3
wrong,['wrong'],1
teringlijertjes,"['te', 'ring', 'lij', 'er', 'tjes']",5
hazenstrikje,"['ha', 'zen', 'strik', 'je']",4
ballonnenclown,"['bal', 'lon', 'nen', 'clown']",4
aanvijzen,"['aan', 'vij', 'zen']",3
beukennootje,"['beu', 'ken', 'noot', 'je']",4
aantoonbare,"['aan', 'toon', 'ba', 're']",4
volksduitser,"['volks', 'duit', 'ser']",3
ophitser,"['op', 'hit', 'ser']",3
onnoemelijkste,"['on', 'noe', 'me', 'lijk', 'ste']",5
conservator,"['con', 'ser', 'va', 'tor']",4
familierelatie,"['fa', 'mi', 'lie', 're', 'la', 'tie']",6
yottawebers,"['yot', 'ta', 'we', 'bers']",4
draconische,"['dra', 'co', 'ni', 'sche']",4
gokhuizen,"['gok', 'hui', 'zen']",3
sneu,['sneu'],1
reifkoek,"['reif', 'koek']",2
elektrocuteerden,"['elek', 'tro', 'cu', 'teer', 'den']",5
hink,['hink'],1
versnellingsbak,"['ver', 'snel', 'lings', 'bak']",4
kwasi,"['kwa', 'si']",2
mandator,"['man', 'da', 'tor']",3
geenszins,"['geens', 'zins']",2
onkel,"['on', 'kel']",2
beslissendste,"['be', 'slis', 'send', 'ste']",4
hozebek,"['ho', 'ze', 'bek']",3
mint,['mint'],1
Bakoe,"['Ba', 'koe']",2
oote,['oote'],1
zandgoed,"['zand', 'goed']",2
ICT,['ICT'],1
aanbiddend,"['aan', 'bid', 'dend']",3
organogram,"['or', 'ga', 'no', 'gram']",4
tandenknarsen,"['tan', 'den', 'knar', 'sen']",4
Waals-Brabantse,"['Waals-Bra', 'bant', 'se']",3
orde,"['or', 'de']",2
simulatie,"['si', 'mu', 'la', 'tie']",4
rekkelijken,"['rek', 'ke', 'lij', 'ken']",4
zwartmaken,"['zwart', 'ma', 'ken']",3
supporterstreinen,"['sup', 'por', 'ters', 'trei', 'nen']",5
kostendrukkend,"['kos', 'ten', 'druk', 'kend']",4
aardrijkskundeleraren,"['aard', 'rijks', 'kun', 'de', 'le', 'ra', 'ren']",7
kokkelzaadjes,"['kok', 'kel', 'zaad', 'jes']",4
Ten-edn,['Ten-edn'],1
gezondheidsstelsel,"['ge', 'zond', 'heids', 'stel', 'sel']",5
springbok,"['spring', 'bok']",2
ter,['ter'],1
teugel,"['teu', 'gel']",2
voornaamwoordje,"['voor', 'naam', 'woord', 'je']",4
klieven,"['klie', 'ven']",2
watersoepen,"['wa', 'ter', 'soe', 'pen']",4
zandsculptuur,"['zand', 'sculp', 'tuur']",3
heksen,"['hek', 'sen']",2
androsteron,"['an', 'dros', 'te', 'ron']",4
televisieapparaten,"['te', 'le', 'vi', 'sie', 'ap', 'pa', 'ra', 'ten']",8
crisisopname,"['cri', 'sis', 'op', 'na', 'me']",5
jouwe,"['jou', 'we']",2
gram,['gram'],1
aanneembaars,"['aan', 'neem', 'baars']",3
nieuwbakkeners,"['nieuw', 'bak', 'ke', 'ners']",4
zilverbons,"['zil', 'ver', 'bons']",3
spitsig,"['spit', 'sig']",2
wijnveldje,"['wijn', 'veld', 'je']",3
Tamazight,"['Ta', 'ma', 'zight']",3
ijs,['ijs'],1
tussenleggertje,"['tus', 'sen', 'leg', 'ger', 'tje']",5
bedienbaarders,"['be', 'dien', 'baar', 'ders']",4
vijfentwintighonderd,"['vijf', 'en', 'twin', 'tig', 'hon', 'derd']",6
tripleren,"['tri', 'ple', 'ren']",3
okt,['okt'],1
afmelkend,"['af', 'mel', 'kend']",3
meegelift,"['mee', 'ge', 'lift']",3
vragenuurtjes,"['vra', 'gen', 'uur', 'tjes']",4
kleden,"['kle', 'den']",2
tijdrijden,"['tijd', 'rij', 'den']",3
Liza,"['Li', 'za']",2
onbeschrijfelijkere,"['on', 'be', 'schrij', 'fe', 'lij', 'ke', 're']",7
paardenmolen,"['paar', 'den', 'mo', 'len']",4
investerinkje,"['in', 'ves', 'te', 'rin', 'kje']",5
schrijversnaam,"['schrij', 'vers', 'naam']",3
vervolledigde,"['ver', 'vol', 'le', 'dig', 'de']",5
abtschap,"['abt', 'schap']",2
brogues,['brogues'],1
visstoeltje,"['vis', 'stoel', 'tje']",3
wov joed,"['wov', 'joed']",2
latere,"['la', 'te', 're']",3
opvrolijken,"['op', 'vro', 'lij', 'ken']",4
offeren,"['of', 'fe', 'ren']",3
aucteur,"['auc', 'teur']",2
groentjes,"['groen', 'tjes']",2
crapuleuzere,"['cra', 'pu', 'leu', 'ze', 're']",5
perform,"['per', 'form']",2
i.g.st.,['i.g.st.'],1
hardloper,"['hard', 'lo', 'per']",3
stoep,['stoep'],1
gesofisticeerde,"['ge', 'so', 'fis', 'ti', 'ceer', 'de']",6
papierarchitectuur,"['pa', 'pier', 'ar', 'chi', 'tec', 'tuur']",6
fotoshoot,"['fo', 'to', 'shoot']",3
ziehier,"['zie', 'hier']",2
medicijnkasten,"['me', 'di', 'cijn', 'kas', 'ten']",5
ouderdomssuiker,"['ou', 'der', 'doms', 'sui', 'ker']",5
enigerlei,"['eni', 'ger', 'lei']",3
kraakvers,"['kraak', 'vers']",2
aborteurtjes,"['abor', 'teur', 'tjes']",3
drinkuit,"['drink', 'uit']",2
lichaampjes,"['li', 'chaam', 'pjes']",3
bommelding,"['bom', 'mel', 'ding']",3
schijnvrucht,"['schijn', 'vrucht']",2
Chahuilla,"['Cha', 'huil', 'la']",3
autobrandje,"['au', 'to', 'brand', 'je']",4
insuline,"['in', 'su', 'li', 'ne']",4
zweet uit,"['zweet', 'uit']",2
kwarto,"['kwar', 'to']",2
gevangenneming,"['ge', 'van', 'gen', 'ne', 'ming']",5
Dominica,"['Do', 'mi', 'ni', 'ca']",4
goeds,['goeds'],1
paniek,"['pa', 'niek']",2
navelstrengetje,"['na', 'vel', 'stren', 'ge', 'tje']",5
manbaardere,"['man', 'baar', 'de', 're']",4
verbabbelend,"['ver', 'bab', 'be', 'lend']",4
rokade,"['ro', 'ka', 'de']",3
terugkomst,"['te', 'rug', 'komst']",3
duikersziekte,"['dui', 'kers', 'ziek', 'te']",4
natuurgeneeswijze,"['na', 'tuur', 'ge', 'nees', 'wij', 'ze']",6
leesbrilletje,"['lees', 'bril', 'le', 'tje']",4
langoustine,"['lan', 'gous', 'ti', 'ne']",4
smeltwater,"['smelt', 'wa', 'ter']",3
Samenland,"['Sa', 'men', 'land']",3
aanhechtingspuntjes,"['aan', 'hech', 'tings', 'punt', 'jes']",5
fez,['fez'],1
poffertjes,"['pof', 'fer', 'tjes']",3
daaromtrent,"['daar', 'om', 'trent']",3
draaibare,"['draai', 'ba', 're']",3
avondvierdaagse,"['avond', 'vier', 'daag', 'se']",4
uitsluitingsprincipe van Pauli,"['uit', 'slui', 'tings', 'prin', 'ci', 'pe', 'van', 'Pauli']",8
engagement,"['en', 'ga', 'ge', 'ment']",4
hoornsignaal,"['hoorn', 'sig', 'naal']",3
eraf,"['er', 'af']",2
spintol,"['spin', 'tol']",2
zomeroffensief,"['zo', 'mer', 'of', 'fen', 'sief']",5
